,,RefreshR - Video Links,,,https://emilyhmarkowitz.github.io/RWorkshopForSocialScientists/pre-meet.html,https://emilyhmarkowitz.github.io/RWorkshopForSocialScientists/otherresources.html
Importance Level,Time,Topic,Playlist Title,Web link,Summary,Notes
,,,,,,
High,6 min,RStudio for the Total Beginner,Getting Started,https://www.youtube.com/watch?v=FIrsOBy5k58,This video will describe the layout of Rstudio and will get you oriented to the platform.,
Med,21 min,Intro to R,Getting Started,https://www.youtube.com/watch?v=4vB7xp2acCs,A longer introduction to RStudio with a little more time spent writing code and exploring the content that will be in each of the four panels in Rstudio.,
,,,,,,
High,4 min,Basic Data Types,Data Types,https://www.youtube.com/watch?v=hxlHQ2AtLUk,TBD,
low,10 min,What are Data Structures in R?,Data Structures,,"This is not a video, so the 10 min is an estimate on how long it will take to read.",
Med,25 min,R Data structures,Data Structures,https://www.youtube.com/watch?v=vwyleNC8ol8,"This video will explain the different data structures, discuss elements of the data structures and import/export formats.",
,,,,,,
High,1hr,Writing Script,Code Etiquette,https://emilymarkowitz-noaa.github.io/RWorkshopForSocialScientists/les_BestScriptingPractices.nb.html,Emily Markowitz created a presentation on coding ettiquate which she presented in 2020 at a NOAA course called R for Social Scientists. ,
,,,,,,
High,8 min,Intro to Data Wrangling Part 1,Data Wrangling,https://www.youtube.com/watch?v=jOd65mR1zfw,Part 1: Developed by RStudio - overall these videos are nicely explained and have good graphics.,
High,17 min,Intro to Data Wrangling Part 2,Data Wrangling,https://www.youtube.com/watch?v=1ELALQlO-yM,"Part 2:  Developed by Rstudio Two tidyverse packages, tidyr and dplyr, note that some functions have been replaced since this video was created we'll discuss that in class (pivot_longer, pivot_wider)",
High,20 min,Intro to Data Wrangling Part 3,Data Wrangling,https://www.youtube.com/watch?v=Zc_ufg4uW4U,Part 3: Developed by Rstudio - Grammar of data manipulation with dplyr,
Med,7 min,Intro to Data Wrangling Part 4,Data wrangling,https://www.youtube.com/watch?v=AuBgYDCg1Cg,"Part 4: Developed by RStudio  - Binds, set operations and joins",
,,,,,,
Med,30 min,TBD,Visualize Data,https://ggplot2-book.org/introduction.html#what-is-the-grammar-of-graphics,"This is not a video, so the 30 min is an estimate on how long it would take to read. ",
