,,StarteR - Video Links,,,,
Importance Level,Time,Topic,Playlist Title,Video Link,Summary,Notes
,,,,,,
High,6 min,Rstudio for the Total Beginner,Getting Started,https://www.youtube.com/watch?v=FIrsOBy5k58,This video will describe the layout of Rstudio and will get you oriented to the platform.,NA
Med,21 min,Intro to R,Getting Started,https://www.youtube.com/watch?v=4vB7xp2acCs,A longer introduction to RStudio with a little more time spent writing code and exploring the content that will be in each of the four panels in Rstudio.,NA
High,4 min,Basic Data Types,Data Types,https://www.youtube.com/watch?v=hxlHQ2AtLUk,TBD,NA
,,,,,,
Low,10 min,What are Data Structures in R?,Data Structures,https://universeofdatascience.com/what-are-data-structures-in-r/,"This is not a video, so the 10 min is an estimate on how long it will take to read.",NA
Med,25 min,R Data Structures,Data Structures,https://www.youtube.com/watch?v=vwyleNC8ol8,"This video will explain the different data structures, discuss elements of the data structures and import/export formats.",NA
High,1 hr,Writing Script,Code Etiquette,https://emilymarkowitz-noaa.github.io/RWorkshopForSocialScientists/les_BestScriptingPractices.nb.html,Emily Markowitz created a presentation on coding ettiquate which she presented in 2020 at a NOAA course called R for Social Scientists. ,NA
High,8 min,TBD,Data Wrangling,https://www.youtube.com/watch?v=jOd65mR1zfw,Part 1: Developed by RStudio - overall these videos are nicely explained and have good graphics.,NA
High,17 min,TBD,Data Wrangling,https://www.youtube.com/watch?v=1ELALQlO-yM,"Part 2:  Developed by Rstudio some functions have been replaced since this video was created we'll discuss that in class (pivot_longer, pivot_wider)",NA
Med,7 min,TBD,Data Wrangling,https://www.youtube.com/watch?v=AuBgYDCg1Cg,"Part 4: Developed by RStudio  - Binds, set operations and joins",NA
High,20 min,TBD,Data Wrangling,https://www.youtube.com/watch?v=Zc_ufg4uW4U,Part 3: Developed by Rstudio - Grammar of data manipulation with dplyr,NA
mMed,30 min,TBD,Plotting,https://ggplot2-book.org/introduction.html#what-is-the-grammar-of-graphics,"This is not a video, so the 30 min is an estimate on how long it would take to read. ",NA
